empresa,ruta,codigo_servicio,kmz,url_oficial,rq_ida_km,rq_ida_min,rq_regreso_km,rq_regreso_min,advertencia
SOBUSA,C12-4169 A,C12,SOBUSA/C12-4169 A.kmz,https://www.ambq.gov.co/ruta-de-buses/SOBUSA/C12-4169%20A.kmz,93.89,376,67.16,269,geometría posiblemente anómala; validar contra KMZ oficial
SOBUSA,C12-4169 B,C12,SOBUSA/C12-4169 B.kmz,https://www.ambq.gov.co/ruta-de-buses/SOBUSA/C12-4169%20B.kmz,93.89,376,67.16,269,geometría posiblemente anómala; validar contra KMZ oficial
SOBUSA,C13-4143,C13,SOBUSA/C13-4143.kmz,https://www.ambq.gov.co/ruta-de-buses/SOBUSA/C13-4143.kmz,,,,,
SOBUSA,C14-4170,C14,SOBUSA/C14-4170.kmz,https://www.ambq.gov.co/ruta-de-buses/SOBUSA/C14-4170.kmz,,,,,
SOBUSA,C16-4167 A,C16,SOBUSA/C16-4167 A.kmz,https://www.ambq.gov.co/ruta-de-buses/SOBUSA/C16-4167%20A.kmz,,,,,
SOBUSA,C16-4167 B,C16,SOBUSA/C16-4167 B.kmz,https://www.ambq.gov.co/ruta-de-buses/SOBUSA/C16-4167%20B.kmz,,,,,
SODETRANS,B13-4128,B13,SODETRANS/B13-4128.kmz,https://www.ambq.gov.co/ruta-de-buses/SODETRANS/B13-4128.kmz,,,,,
SODETRANS,B13-B-4189,B13-B,SODETRANS/B13-B-4189.kmz,https://www.ambq.gov.co/ruta-de-buses/SODETRANS/B13-B-4189.kmz,,,,,
SODETRANS,B14-4174,B14,SODETRANS/B14-4174.kmz,https://www.ambq.gov.co/ruta-de-buses/SODETRANS/B14-4174.kmz,,,,,
SODETRANS,B15-4129 A,B15,SODETRANS/B15-4129 A.kmz,https://www.ambq.gov.co/ruta-de-buses/SODETRANS/B15-4129%20A.kmz,,,,,
SODETRANS,B15-4129 B,B15,SODETRANS/B15-4129 B.kmz,https://www.ambq.gov.co/ruta-de-buses/SODETRANS/B15-4129%20B.kmz,,,,,
SODETRANS,C21-4182 A,C21,SODETRANS/C21-4182 A.kmz,https://www.ambq.gov.co/ruta-de-buses/SODETRANS/C21-4182%20A.kmz,,,,,
SODETRANS,C21-4182 B,C21,SODETRANS/C21-4182 B.kmz,https://www.ambq.gov.co/ruta-de-buses/SODETRANS/C21-4182%20B.kmz,,,,,
TRANSDIAZ,A10-4114 A,A10,TRANSDIAZ/A10-4114 A.kmz,https://www.ambq.gov.co/ruta-de-buses/TRANSDIAZ/A10-4114%20A.kmz,,,,,
TRANSDIAZ,A10-4114 B,A10,TRANSDIAZ/A10-4114 B.kmz,https://www.ambq.gov.co/ruta-de-buses/TRANSDIAZ/A10-4114%20B.kmz,,,,,
TRANSDIAZ,A11-4115,A11,TRANSDIAZ/A11-4115.kmz,https://www.ambq.gov.co/ruta-de-buses/TRANSDIAZ/A11-4115.kmz,,,,,
TRANSDIAZ,B16-4130,B16,TRANSDIAZ/B16-4130.kmz,https://www.ambq.gov.co/ruta-de-buses/TRANSDIAZ/B16-4130.kmz,,,,,
TRANSMECAR,C17-4160,C17,TRANSMECAR/C17-4160.kmz,https://www.ambq.gov.co/ruta-de-buses/TRANSMECAR/C17-4160.kmz,,,,,
TRANSMECAR,D9-4152,D9,TRANSMECAR/D9-4152.kmz,https://www.ambq.gov.co/ruta-de-buses/TRANSMECAR/D9-4152.kmz,,,,,
TRANSMECAR,D10-4172,D10,TRANSMECAR/D10-4172.kmz,https://www.ambq.gov.co/ruta-de-buses/TRANSMECAR/D10-4172.kmz,15.92,64,15.92,64,
TRANSMECAR,D11-4153,D11,TRANSMECAR/D11-4153.kmz,https://www.ambq.gov.co/ruta-de-buses/TRANSMECAR/D11-4153.kmz,,,,,
TRANSOLEDAD,D13-4155,D13,TRANSOLEDAD/D13-4155.kmz,https://www.ambq.gov.co/ruta-de-buses/TRANSOLEDAD/D13-4155.kmz,,,,,
TRANSURBAR,A14-4116,A14,TRANSURBAR/A14-4116.kmz,https://www.ambq.gov.co/ruta-de-buses/TRANSURBAR/A14-4116.kmz,45.24,181,45.24,181,
TRANSURBAR,D16-4173,D16,TRANSURBAR/D16-4173.kmz,https://www.ambq.gov.co/ruta-de-buses/TRANSURBAR/D16-4173.kmz,,,,,
TRANSURBAR,D19-4184,D19,TRANSURBAR/D19-4184.kmz,https://www.ambq.gov.co/ruta-de-buses/TRANSURBAR/D19-4184.kmz,,,,,
TRASALFA,B2-B-4118,B2-B,TRASALFA/B2-B-4118.kmz,https://www.ambq.gov.co/ruta-de-buses/TRASALFA/B2-B-4118.kmz,,,,,
TRASALFA,D14-4156,D14,TRASALFA/D14-4156.kmz,https://www.ambq.gov.co/ruta-de-buses/TRASALFA/D14-4156.kmz,,,,,
TRASALFA,D15-4157,D15,TRASALFA/D15-4157.kmz,https://www.ambq.gov.co/ruta-de-buses/TRASALFA/D15-4157.kmz,,,,,
TRASALIANCO,B19-4176,B19,TRASALIANCO/B19-4176.kmz,https://www.ambq.gov.co/ruta-de-buses/TRASALIANCO/B19-4176.kmz,,,,,
TRASALIANCO,D12-4154,D12,TRASALIANCO/D12-4154.kmz,https://www.ambq.gov.co/ruta-de-buses/TRASALIANCO/D12-4154.kmz,,,,,
TRASALIANCO,D17-4158,D17,TRASALIANCO/D17-4158.kmz,https://www.ambq.gov.co/ruta-de-buses/TRASALIANCO/D17-4158.kmz,,,,,
TRASALIANCO,D18-4179,D18,TRASALIANCO/D18-4179.kmz,https://www.ambq.gov.co/ruta-de-buses/TRASALIANCO/D18-4179.kmz,,,,,
